universe definition
gravity is 9.807
body B3743: mass 831.38, diameter 11.1944, position_x -5.71552e+07, position_y -1.27724e+07, velocity_x -264618, velocity_y -159135
body B7323: mass 1557.48, diameter 15.7895, position_x -5.76777e+07, position_y -1.50863e+07, velocity_x -116349, velocity_y -122927
body B6025: mass 2995.51, diameter 22.6855, position_x -5.40329e+07, position_y -1.16383e+07, velocity_x -554450, velocity_y 53073.8
body B4408: mass 3726.14, diameter 25.7908, position_x -5.5562e+07, position_y -1.59412e+07, velocity_x 1763.81, velocity_y 2873.12
body B8956: mass 1498.58, diameter 15.4434, position_x -5.71053e+07, position_y -1.61283e+07, velocity_x -46517.9, velocity_y -58646.3
body B8145: mass 1600.84, diameter 15.8095, position_x -5.72708e+07, position_y -1.28979e+07, velocity_x -256117, velocity_y -157037
body B4872: mass 1518.83, diameter 15.9129, position_x -5.7745e+07, position_y -1.4884e+07, velocity_x -128370, velocity_y -130648
body B1021: mass 2370.13, diameter 19.4123, position_x -5.49171e+07, position_y -1.57264e+07, velocity_x 7909.21, velocity_y 14317
body B4885: mass 1520.78, diameter 15.9088, position_x -5.57319e+07, position_y -1.60138e+07, velocity_x -3894.68, velocity_y -6347.44
body B6199: mass 2217.13, diameter 20.1202, position_x -5.51646e+07, position_y -1.16861e+07, velocity_x -447980, velocity_y -97624.6
body B1996: mass 2368.41, diameter 19.2748, position_x -5.7691e+07, position_y -1.50339e+07, velocity_x -119398, velocity_y -125459
body B4443: mass 5365.52, diameter 29.975, position_x -5.73611e+07, position_y -1.3034e+07, velocity_x -242199, velocity_y -160549
body B7441: mass 2361.65, diameter 19.2271, position_x -5.81972e+07, position_y -1.5731e+07, velocity_x -91912, velocity_y -96103.8
body B4722: mass 1620.92, diameter 16.2042, position_x -5.66691e+07, position_y -1.61334e+07, velocity_x -31706.2, velocity_y -42723.8
body B6852: mass 2278.67, diameter 19.663, position_x -5.75979e+07, position_y -1.52061e+07, velocity_x -108512, velocity_y -118842
body B4828: mass 3750.34, diameter 24.9276, position_x -5.73766e+07, position_y -1.61005e+07, velocity_x -57070.7, velocity_y -69855.7
body B4717: mass 52465.5, diameter 53.9973, position_x -5.50152e+07, position_y -1.1608e+07, velocity_x -458784, velocity_y -87527.1
body B3208: mass 2296.76, diameter 19.3934, position_x -5.33774e+07, position_y -1.47285e+07, velocity_x 24817.7, velocity_y 162994
body B9282: mass 477017, diameter 219.544, position_x -5.72696e+07, position_y -1.29161e+07, velocity_x -251399, velocity_y -160996
body B9020: mass 2975.9, diameter 22.44, position_x -5.51279e+07, position_y -1.58472e+07, velocity_x -68.4438, velocity_y -2761.26
body B6411: mass 1.25271e+16, diameter 295923, position_x -5.36565e+07, position_y -1.27223e+07, velocity_x -148747, velocity_y -43094.7
